TICKER,date,PRC,RET,VOL,SHROUT
MSFT,2014-04-02,41.35,-0.00169,28667570,8260
MSFT,2014-04-03,41.01,-0.008222,30140545,8260
MSFT,2014-04-04,39.87,-0.027798,51409573,8260
MSFT,2014-04-07,39.8,-0.001756,37559615,8260
MSFT,2014-04-08,39.82,0.000503,35919609,8260
MSFT,2014-04-09,40.47,0.016323,27398787,8260
MSFT,2014-04-10,39.36,-0.027428,45960848,8260
MSFT,2014-04-11,39.209,-0.003836,34333298,8260
MSFT,2014-04-14,39.18,-0.00074,32007201,8260
MSFT,2014-04-15,39.75,0.014548,33978673,8260
MSFT,2014-04-16,40.4,0.016352,30616304,8260
MSFT,2014-04-17,40.01,-0.009654,36689399,8260.412
MSFT,2014-04-21,39.94,-0.00175,22222222,8260.412
MSFT,2014-04-22,39.99,0.001252,27057271,8260.412
MSFT,2014-04-23,39.69,-0.007502,24602781,8260.412
MSFT,2014-04-24,39.86,0.004283,42382794,8260.412
MSFT,2014-04-25,39.91,0.001254,56883812,8260.412
MSFT,2014-04-28,40.87,0.024054,50612308,8260.412
MSFT,2014-04-29,40.51,-0.008808,29637370,8260.412
MSFT,2014-04-30,40.4,-0.002715,35464148,8260.412
MSFT,2014-05-01,40,-0.009901,28791455,8260.412
MSFT,2014-05-02,39.69,-0.00775,43417914,8260.412
MSFT,2014-05-05,39.43,-0.006551,22460928,8260.412
MSFT,2014-05-06,39.06,-0.009384,27112373,8260.412
MSFT,2014-05-07,39.425,0.009345,41749497,8260.412
MSFT,2014-05-08,39.64,0.005453,32123032,8260.412
MSFT,2014-05-09,39.54,-0.002523,29647646,8260.412
MSFT,2014-05-12,39.97,0.010875,23037185,8260.412
MSFT,2014-05-13,40.42,0.018264,27004768,8260.412
MSFT,2014-05-14,40.24,-0.004453,18818711,8260.412
MSFT,2014-05-15,39.6,-0.015905,37793243,8260.412
MSFT,2014-05-16,39.83,0.005808,29918272,8260.412
MSFT,2014-05-19,39.75,-0.002009,24537438,8260.412
MSFT,2014-05-20,39.68,-0.001761,21322341,8260.412
MSFT,2014-05-21,40.35,0.016885,22403892,8260.412
MSFT,2014-05-22,40.1,-0.006196,20202485,8260.412
MSFT,2014-05-23,40.12,0.000499,18020866,8260.412
MSFT,2014-05-27,40.19,0.001745,26161164,8260.412
MSFT,2014-05-28,40.01,-0.004479,25711465,8260.412
MSFT,2014-05-29,40.34,0.008248,19893872,8260.412
MSFT,2014-05-30,40.94,0.014874,34575579,8260.412
MSFT,2014-06-02,40.79,-0.003664,18511368,8260.412
MSFT,2014-06-03,40.29,-0.012258,18071096,8260.412
MSFT,2014-06-04,40.32,0.000745,23213931,8260.412
MSFT,2014-06-05,41.21,0.022073,31930382,8260.412
MSFT,2014-06-06,41.48,0.006552,24061290,8260.412
MSFT,2014-06-09,41.27,-0.005063,15090875,8260.412
MSFT,2014-06-10,41.11,-0.003877,15117689,8260.412
MSFT,2014-06-11,40.86,-0.006081,18040290,8260.412
MSFT,2014-06-12,40.58,-0.006853,29823030,8260.412
MSFT,2014-06-13,41.23,0.016018,26310697,8260.412
MSFT,2014-06-16,41.5,0.006549,24280128,8260.412
MSFT,2014-06-17,41.68,0.004337,22518730,8260.412
MSFT,2014-06-18,41.65,-0.00072,27097228,8260.412
MSFT,2014-06-19,41.51,-0.003361,19837767,8260.412
MSFT,2014-06-20,41.68,0.004095,47765407,8260.412
MSFT,2014-06-23,41.99,0.007438,18743905,8260.412
MSFT,2014-06-24,41.745,-0.005835,27036352,8260.412
MSFT,2014-06-25,42.03,0.006827,20051576,8260.412
MSFT,2014-06-26,41.72,-0.007376,23604409,8260.412
MSFT,2014-06-27,42.25,0.012704,74723348,8260.412
MSFT,2014-06-30,41.7,-0.013018,30805472,8239
MSFT,2014-07-01,41.87,0.004077,27439373,8239
MSFT,2014-07-02,41.9,0.000717,20208526,8239
MSFT,2014-07-03,41.8,-0.002387,15969315,8239
MSFT,2014-07-07,41.99,0.004546,22003619,8239
MSFT,2014-07-08,41.78,-0.005001,31218208,8239
MSFT,2014-07-09,41.67,-0.002633,18445910,8239
MSFT,2014-07-10,41.685,0.00036,21856832,8239
MSFT,2014-07-11,42.09,0.009716,24088547,8239
MSFT,2014-07-14,42.14,0.001188,21882943,8239
MSFT,2014-07-15,42.45,0.007356,29275783,8239
MSFT,2014-07-16,44.08,0.038398,63322372,8239
MSFT,2014-07-17,44.53,0.010209,82207381,8239
MSFT,2014-07-18,44.69,0.003593,43407490,8239
MSFT,2014-07-21,44.835,0.003245,37609378,8239
MSFT,2014-07-22,44.83,-0.000111,43095820,8239.849
MSFT,2014-07-23,44.87,0.000892,52368395,8239.849
MSFT,2014-07-24,44.4,-0.010475,30725348,8239.849
MSFT,2014-07-25,44.5,0.002252,26738524,8239.849
MSFT,2014-07-28,43.97,-0.01191,29687677,8239.849
MSFT,2014-07-29,43.885,-0.001933,27764099,8239.849
MSFT,2014-07-30,43.5785,-0.006984,31925735,8239.849
MSFT,2014-07-31,43.16,-0.009603,31540882,8239.849
MSFT,2014-08-01,42.86,-0.006951,31180968,8239.849
MSFT,2014-08-04,43.37,0.011899,34277387,8239.849
MSFT,2014-08-05,43.08,-0.006687,26267500,8239.849
MSFT,2014-08-06,42.74,-0.007892,24633966,8239.849
MSFT,2014-08-07,43.23,0.011465,30315183,8239.849
MSFT,2014-08-08,43.2,-0.000694,28945621,8239.849
MSFT,2014-08-11,43.2,0,20351600,8239.849
MSFT,2014-08-12,43.52,0.007407,21433725,8239.849
MSFT,2014-08-13,44.08,0.012868,22889484,8239.849
MSFT,2014-08-14,44.27,0.00431,19313194,8239.849
MSFT,2014-08-15,44.79,0.011746,41634438,8239.849
MSFT,2014-08-18,45.11,0.007144,26896074,8239.849
MSFT,2014-08-19,45.33,0.011084,28139494,8239.849
MSFT,2014-08-20,44.95,-0.008383,24770487,8239.849
MSFT,2014-08-21,45.22,0.006007,22285502,8239.849
MSFT,2014-08-22,45.15,-0.001548,18295116,8239.849
MSFT,2014-08-25,45.17,0.000443,16909999,8239.849
MSFT,2014-08-26,45.005,-0.003653,14877769,8239.849
MSFT,2014-08-27,44.87,-0.003,21287931,8239.849
