,Mkt-RF,SMB,HML,WML
195704,4.26,-1.61,-1.47,0.96
195705,3.45,-1.05,-2.1,0.44
195706,-0.74,0.55,0.03,0.77
195707,0.66,-0.77,0.42,-0.07
195708,-5.11,0.05,-0.42,0.49
195709,-5.98,0.06,0.91,0.62
195710,-4.32,-2.53,-1.83,1.94
195711,2.3,0.37,-2.89,1.24
195712,-3.91,-0.98,-1.61,7.79
195801,4.66,4.38,4.19,-7.63
195802,-1.52,0.68,0.37,3.75
195803,3.27,0.65,-0.96,-1.85
195804,3.09,-0.65,1.64,1.85
195805,2.31,2.19,-0.25,-1.82
195806,2.93,-0.19,0.4,-0.87
195807,4.39,0.52,3.04,-3.62
195808,1.91,1.17,0.36,0.28
195809,4.66,0.13,2.85,-1.13
195810,2.53,1.11,-1.18,3.12
195811,3.01,2,-1.19,1.57
195812,5.15,-2.04,-0.01,-0.65
195901,0.71,3.01,2.96,-0.24
195902,0.95,1.51,1.1,3.4
195903,0.28,1.5,-0.38,0.13
195904,3.66,-0.55,-1.33,3.15
195905,1.73,-2.1,1.7,1.5
195906,-0.25,0.65,1.35,2.91
195907,3.17,-0.3,0.23,-0.32
195908,-1.39,-0.76,0.45,-0.95
195909,-4.8,-0.09,0.55,0.85
195910,1.28,1.45,-2.1,3.48
195911,1.6,1.24,-3.22,2.26
195912,2.45,-0.58,-0.07,0.99
196001,-6.98,2.08,2.79,-3.49
196002,1.17,0.51,-1.93,3.86
196003,-1.63,-0.49,-2.94,1.43
196004,-1.71,0.32,-2.29,2.81
196005,3.12,1.22,-3.7,4.81
196006,2.08,-0.22,-0.34,0.86
196007,-2.37,-0.52,2.03,-0.78
196008,3.01,0.87,-0.18,1.92
196009,-5.99,-1.11,1.65,0.31
196010,-0.71,-4.07,2.86,1.25
196011,4.69,0.37,-2.37,3.74
196012,4.71,-1.57,-0.76,1.39
196101,6.2,0.66,3.66,-3.99
196102,3.57,3.92,-0.64,0.98
196103,2.89,3.28,-0.7,4.51
196104,0.29,0.05,2.15,3.52
196105,2.4,2.02,0.37,-1.56
196106,-3.08,-2.49,-0.11,0.37
196107,2.83,-1.88,-0.09,0.24
196108,2.57,-1.75,-0.28,1.65
196109,-2.15,-1.06,-0.61,0.83
196110,2.57,-1.63,0.15,3.13
196111,4.45,1.26,-1.23,1.34
196112,-0.18,-0.82,1.79,-2.24
196201,-3.87,1.77,5.13,-2.07
196202,1.81,-1.15,0.82,-1.02
196203,-0.68,0.53,-1.38,1.83
196204,-6.59,-0.71,0.03,2.89
196205,-8.65,-3.34,2.77,0.38
196206,-8.47,-0.58,2.55,6.45
196207,6.28,1.51,-3.4,0.55
196208,2.13,1.22,-1.17,-0.58
196209,-5.22,-2.45,1.26,3.95
196210,-0.05,-3.97,1.3,0.75
196211,10.87,2.63,0.96,-7.17
196212,1.01,-3.81,0.35,5.88
196301,4.93,3.07,2.22,-2.1
196302,-2.38,0.5,2.17,2.52
196303,3.08,-2.6,2.07,1.56
196304,4.51,-1.31,0.99,-0.08
196305,1.76,1.12,2.53,0.37
196306,-2,-0.29,0.75,1.17
196307,-0.39,-0.49,-0.94,1
196308,5.07,-1.02,1.82,1.03
196309,-1.57,-0.31,0.17,0.16
